32,783.5,0.0008,0.0226,1285,44.33,231.1,135,366.1,1.106,1.549
33,804,0.0008,0.022,1281,45.49,232.1,134.3,366.4,1.109,1.548
34,824.9,0.0008,0.0214,1278,46.69,233.1,133.7,366.8,1.113,1.548
35,846.2,0.0008,0.0209,1274,47.91,234.1,133.1,367.2,1.116,1.548
36,867.9,0.0008,0.0203,1270,49.15,235.1,132.4,367.5,1.119,1.548
37,890,0.0008,0.0198,1266,50.43,236.1,131.8,367.9,1.122,1.547
38,912.5,0.0008,0.0193,1262,51.73,237.2,131.1,368.3,1.126,1.547
39,935.5,0.0008,0.0189,1258,53.06,238.2,130.4,368.6,1.129,1.547
40,958.8,0.0008,0.0184,1254,54.42,239.2,129.8,369,1.132,1.546
41,982.6,0.0008,0.0179,1250,55.8,240.3,129,369.3,1.135,1.546
42,1007,0.0008,0.0175,1246,57.22,241.3,128.4,369.7,1.139,1.546
43,1031,0.0008,0.017,1242,58.67,242.3,127.7,370,1.142,1.546
44,1057,0.0008,0.0166,1238,60.16,243.4,126.9,370.3,1.145,1.545
45,1082,0.0008,0.0162,1234,61.67,244.4,126.3,370.7,1.148,1.545
46,1108,0.0008,0.0158,1230,63.22,245.5,125.5,371,1.152,1.545
47,1135,0.0008,0.0154,1226,64.81,246.5,124.8,371.3,1.155,1.545
48,1161,0.0008,0.0151,1222,66.42,247.6,124,371.6,1.158,1.544
49,1189,0.0008,0.0147,1217,68.08,248.6,123.3,371.9,1.161,1.544
50,1217,0.0008,0.0143,1213,69.77,249.7,122.5,372.2,1.165,1.544
51,1245,0.0008,0.014,1209,71.5,250.8,121.7,372.5,1.168,1.543
52,1274,0.0008,0.0137,1204,73.27,251.9,120.9,372.8,1.171,1.543
53,1303,0.0008,0.0133,1200,75.08,252.9,120.2,373.1,1.174,1.543
54,1333,0.0008,0.013,1196,76.93,254,119.4,373.4,1.177,1.542
55,1363,0.0008,0.0127,1191,78.82,255.1,118.6,373.7,1.181,1.542
56,1394,0.0008,0.0124,1187,80.76,256.2,117.8,374,1.184,1.542
57,1425,0.0009,0.0121,1182,82.74,257.3,117,374.3,1.187,1.541
58,1457,0.0009,0.0118,1177,84.77,258.4,116.1,374.5,1.19,1.541
59,1489,0.0009,0.0115,1173,86.84,259.5,115.3,374.8,1.194,1.541
60,1522,0.0009,0.0112,1168,88.97,260.6,114.4,375,1.197,1.54
61,1555,0.0009,0.011,1163,91.14,261.7,113.6,375.3,1.2,1.54
62,1589,0.0009,0.0107,1159,93.37,262.8,112.7,375.5,1.203,1.54
63,1624,0.0009,0.0105,1154,95.65,263.9,111.9,375.8,1.207,1.539
64,1659,0.0009,0.0102,1149,97.98,265.1,110.9,376,1.21,1.539
65,1694,0.0009,0.01,1144,100.4,266.2,110,376.2,1.213,1.539
66,1730,0.0009,0.0097,1139,102.8,267.3,109.1,376.4,1.216,1.538
67,1767,0.0009,0.0095,1134,105.3,268.5,108.1,376.6,1.22,1.538
68,1804,0.0009,0.0093,1129,107.9,269.6,107.2,376.8,1.223,1.537
69,1842,0.0009,0.009,1124,110.6,270.8,106.2,377,1.226,1.537
70,1880,0.0009,0.0088,1118,113.3,271.9,105.3,377.2,1.229,1.536
71,1919,0.0009,0.0086,1113,116.1,273.1,104.3,377.4,1.233,1.536
72,1959,0.0009,0.0084,1108,118.9,274.3,103.3,377.6,1.236,1.535
73,1999,0.0009,0.0082,1102,121.8,275.5,102.2,377.7,1.239,1.535
74,2040,0.0009,0.008,1097,124.9,276.6,101.3,377.9,1.243,1.534
75,2081,0.0009,0.0078,1091,128,277.8,100.2,378,1.246,1.534
76,2123,0.0009,0.0076,1085,131.1,279,99.1,378.1,1.249,1.533
77,2166,0.0009,0.0074,1079,134.4,280.3,97.9,378.2,1.253,1.533
78,2209,0.0009,0.0073,1074,137.8,281.5,96.8,378.3,1.256,1.532
79,2253,0.0009,0.0071,1068,141.2,282.7,95.7,378.4,1.259,1.531
80,2297,0.0009,0.0069,1061,144.8,283.9,94.6,378.5,1.263,1.531
81,2343,0.001,0.0067,1055,148.5,285.2,93.3,378.5,1.266,1.53
82,2389,0.001,0.0066,1049,152.3,286.4,92.2,378.6,1.27,1.529
83,2435,0.001,0.0064,1042,156.2,287.7,90.9,378.6,1.273,1.528
84,2482,0.001,0.0062,1036,160.3,289,89.6,378.6,1.277,1.528
85,2530,0.001,0.0061,1029,164.5,290.3,88.3,378.6,1.28,1.527
86,2579,0.001,0.0059,1022,168.8,291.6,87,378.6,1.284,1.526
87,2628,0.001,0.0058,1015,173.3,292.9,85.7,378.6,1.287,1.525
88,2678,0.001,0.0056,1008,177.9,294.2,84.3,378.5,1.291,1.524
89,2729,0.001,0.0055,1001,182.8,295.6,82.9,378.5,1.294,1.523
90,2781,0.001,0.0053,993.2,187.8,296.9,81.5,378.4,1.298,1.522
91,2833,0.001,0.0052,985.4,193,298.3,79.9,378.2,1.301,1.521
92,2886,0.001,0.005,977.5,198.4,299.7,78.4,378.1,1.305,1.52
93,2940,0.001,0.0049,969.3,204.1,301.1,76.8,377.9,1.309,1.519
94,2995,0.001,0.0048,960.9,210,302.5,75.2,377.7,1.312,1.517
95,3050,0.0011,0.0046,952.2,216.2,304,73.4,377.4,1.316,1.516
96,3106,0.0011,0.0045,943.2,222.7,305.4,71.8,377.2,1.32,1.514
97,3163,0.0011,0.0044,933.9,229.6,306.9,69.9,376.8,1.324,1.513
98,3221,0.0011,0.0042,924.3,236.8,308.4,68.1,376.5,1.328,1.511
99,3280,0.0011,0.0041,914.3,244.4,310,66.1,376.1,1.332,1.509
100,3340,0.0011,0.004,903.8,252.6,311.6,64,375.6,1.336,1.508
101,3400,0.0011,0.0038,892.8,261.2,313.2,61.9,375.1,1.34,1.506
102,3462,0.0011,0.0037,881.3,270.6,314.9,59.6,374.5,1.344,1.503
103,3524,0.0012,0.0036,869.1,280.6,316.6,57.2,373.8,1.349,1.501
104,3588,0.0012,0.0034,856.1,291.5,318.4,54.6,373,1.353,1.498
105,3653,0.0012,0.0033,842.2,303.5,320.2,51.9,372.1,1.358,1.495
106,3718,0.0012,0.0032,827.1,316.8,322.2,48.8,371,1.363,1.492
107,3785,0.0012,0.003,810.5,331.8,324.2,45.6,369.8,1.368,1.488
108,3853,0.0013,0.0029,791.8,349.2,326.5,41.8,368.3,1.374,1.484
109,3922,0.0013,0.0027,769.9,369.9,328.9,37.5,366.4,1.38,1.478
110,3992,0.0014,0.0025,742.7,396.3,331.8,32.1,363.9,1.387,1.471
